"시군구별","용도지역및이용현황별","항목","단위","2011.07 월","2011.08 월","2011.09 월","2011.10 월","2011.11 월","2011.12 월","2012.01 월","2012.02 월","2012.03 월","2012.04 월","2012.05 월","2012.06 월","2012.07 월","2012.08 월","2012.09 월","2012.10 월","2012.11 월","2012.12 월","2013.01 월","2013.02 월",
"전국","평균","지가변동률[%]","%",".101",".094",".094",".095",".095",".098",".087",".091",".12",".116",".112",".097",".065",".032",".024",".059",".067",".082",".031",".066",
"전국","주거지역","지가변동률[%]","%",".085",".078",".08",".082",".081",".084",".071",".082",".117",".11",".101",".079",".025","-.008","-.016",".033",".046",".076","-.013",".052",
"전국","상업지역","지가변동률[%]","%",".063",".053",".058",".058",".052",".052",".051",".055",".101",".113",".117",".115",".042",".03",".041",".088",".084",".106",".086",".084",
"전국","공업지역","지가변동률[%]","%",".112",".102",".113",".108",".108",".111",".11",".09",".113",".115",".108",".104",".114",".085",".069",".084",".048",".051",".026",".099",
"전국","녹지지역","지가변동률[%]","%",".154",".146",".136",".138",".143",".146",".135",".128",".13",".118",".13",".108",".121",".082",".069",".075",".095",".085",".059",".075",
"전국","관리지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"전국","보전관리지역","지가변동률[%]","%",".113",".1",".106",".094",".1",".101",".088",".086",".105",".101",".084",".092",".088",".028",".049",".041",".039",".039",".03",".03",
"전국","생산관리지역","지가변동률[%]","%",".13",".126",".106",".123",".131",".133",".108",".111",".127",".138",".13",".135",".1",".084",".098",".071",".084",".061",".075",".05",
"전국","계획관리지역","지가변동률[%]","%",".167",".155",".139",".148",".15",".15",".131",".135",".159",".157",".153",".157",".185",".134",".101",".13",".146",".142",".134",".105",
"전국","농림지역","지가변동률[%]","%",".089",".09",".099",".095",".1",".118",".094",".102",".133",".123",".116",".102",".094",".07",".04",".07",".075",".052",".097",".051",
"전국","자연환경보전지역","지가변동률[%]","%",".135",".112",".111",".165",".11",".134",".082",".103",".107",".119",".104",".104",".078",".061",".049",".031",".05",".061",".065",".023",
"전국","비도시지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"전국","준도시지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"전국","준농림지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"전국","전","지가변동률[%]","%",".174",".169",".149",".155",".155",".159",".123",".141",".163",".162",".155",".165",".175",".136",".095",".109",".108",".11",".093",".068",
"전국","답","지가변동률[%]","%",".138",".135",".138",".14",".139",".152",".116",".144",".172",".151",".16",".125",".144",".119",".093",".081",".084",".07",".095",".063",
"전국","주거용(대)","지가변동률[%]","%",".092",".086",".085",".09",".088",".091",".084",".086",".112",".103",".086",".059","-.004","-.043","-.044",".006",".015",".058","-.038",".005",
"전국","상업용(대)","지가변동률[%]","%",".072",".064",".065",".065",".063",".066",".057",".066",".105",".118",".125",".118",".083",".058",".052",".091",".096",".09",".065",".104",
"전국","임야","지가변동률[%]","%",".112",".102",".104",".102",".119",".123",".107",".089",".101",".097",".083",".085",".069",".038",".055",".035",".05",".035",".049",".039",
"전국","공장용지","지가변동률[%]","%",".141",".13",".138",".132",".132",".134",".126",".112",".131",".121",".116",".125",".144",".096",".083",".08",".08",".075",".05",".104",
"전국","기타","지가변동률[%]","%",".007",".01",".015",".045",".04",".102",".033",".016",".029",".024",".022",".037",".079",".186",".005",".091",".056",".106","-.366",".028",
"서울특별시","평균","지가변동률[%]","%",".067",".052",".049",".043",".037",".038",".031",".045",".098",".104",".094",".058","-.032","-.057","-.055",".011",".031",".05","-.058",".055",
"서울특별시","주거지역","지가변동률[%]","%",".064",".051",".049",".046",".039",".039",".031",".047",".09",".094",".073",".031","-.062","-.097","-.095","-.035",".005",".026","-.115",".034",
"서울특별시","상업지역","지가변동률[%]","%",".072",".045",".051",".036",".03",".035",".03",".041",".128",".151",".174",".169",".043",".054",".061",".17",".137",".148",".153",".128",
"서울특별시","공업지역","지가변동률[%]","%",".079",".072",".035",".038",".027",".027",".027",".018",".075",".088",".114",".06",".08",".036",".038",".082","-.039","-.037","-.028",".015",
"서울특별시","녹지지역","지가변동률[%]","%",".095",".077",".051",".038",".053",".045",".074",".065",".105",".113",".084",".057",".102",".132",".051",".057",".11",".168","-.043",".152",
"서울특별시","관리지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"서울특별시","보전관리지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"서울특별시","생산관리지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"서울특별시","계획관리지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"서울특별시","농림지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"서울특별시","자연환경보전지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"서울특별시","비도시지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"서울특별시","준도시지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"서울특별시","준농림지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"서울특별시","전","지가변동률[%]","%",".124",".102",".053",".071",".074",".059",".091",".121",".173",".149",".194",".134",".404",".272",".253",".16",".255",".368",".249",".358",
"서울특별시","답","지가변동률[%]","%",".097",".05","0","0","0","0","0","0","0",".067","0","-.05","-.038","0","-.185","0","0","0","-.334","0",
"서울특별시","주거용(대)","지가변동률[%]","%",".067",".053",".05",".047",".043",".039",".042",".047",".081",".076",".035","-.032","-.173","-.206","-.194","-.102","-.055","-.014","-.17","-.07",
"서울특별시","상업용(대)","지가변동률[%]","%",".066",".049",".049",".04",".03",".035",".022",".043",".115",".142",".153",".151",".095",".074",".073",".15",".143",".117",".069",".171",
"서울특별시","임야","지가변동률[%]","%",".055",".044",".081",".047",".018",".049",".066",".057",".05",".062","-.084",".004","-.163","-.054","-.04","0",".077",".03",".084",".036",
"서울특별시","공장용지","지가변동률[%]","%",".113",".103",".049",".05",".039",".039",".04",".007",".135",".028",".121",".065",".19",".253",".088",".067","-.106",".275","-.026",".407",
"서울특별시","기타","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"종로구","평균","지가변동률[%]","%",".039",".045",".058",".05",".042",".044",".037",".035",".096",".124",".112",".088","-.07","-.088","-.091",".004",".015",".025","-.009",".054",
"종로구","주거지역","지가변동률[%]","%",".045",".052",".083",".069",".059",".055",".054",".038",".074","-.108","-.005","-.107","-.228","-.142","-.132",".031",".165",".032","-.006",".061",
"종로구","상업지역","지가변동률[%]","%",".033",".039",".035",".032",".027",".035",".02",".033",".116",".328",".216",".259",".078","-.04","-.056","-.02","-.117",".02","-.013",".049",
"종로구","공업지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"종로구","녹지지역","지가변동률[%]","%","0",".071",".155",".069",".135",".088",".057","0","0",".218","0","0","-1.079","0","0","-.01",".019",".009","0","0",
"종로구","관리지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"종로구","보전관리지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"종로구","생산관리지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"종로구","계획관리지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"종로구","농림지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"종로구","자연환경보전지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"종로구","비도시지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"종로구","준도시지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"종로구","준농림지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"종로구","전","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0","0","0",
"종로구","답","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"종로구","주거용(대)","지가변동률[%]","%",".046",".057",".085",".07",".058",".057",".06",".044",".044","-.403","-.131","-.275","-.483","-.177","-.217",".066",".111","-.005","-.007",".049",
"종로구","상업용(대)","지가변동률[%]","%",".037",".041",".045",".043",".037",".04",".028",".032",".12",".349",".215",".237",".115","-.054","-.036","-.043","-.019",".053","-.01",".057",
"종로구","임야","지가변동률[%]","%","0",".048",".282",".061",".1",".079",".013","0","0",".145","0","-.067","-.721","0","0","0","0","0","0","0",
"종로구","공장용지","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"종로구","기타","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
